pdf_url,accepted,reason
https://static.cninfo.com.cn/finalpage/2024-05-17/1220076684.PDF,1,公司涉嫌信披违法
https://static.cninfo.com.cn/finalpage/2024-05-17/1220087991.PDF,1,公司涉嫌信披违法
https://static.cninfo.com.cn/finalpage/2024-05-18/1220091136.PDF,1,公司涉嫌信披违法
https://static.cninfo.com.cn/finalpage/2024-05-25/1220159995.PDF,1,公司涉嫌信披违法
https://static.cninfo.com.cn/finalpage/2024-05-29/1220187515.PDF,1,公司涉嫌信披违法
https://static.cninfo.com.cn/finalpage/2024-05-30/1220196852.PDF,1,公司涉嫌信披违法
https://static.cninfo.com.cn/finalpage/2024-05-31/1220226300.PDF,1,公司涉嫌信披违法
https://static.cninfo.com.cn/finalpage/2024-06-05/1220273326.PDF,1,公司涉嫌信披违法
https://static.cninfo.com.cn/finalpage/2024-06-11/1220318461.PDF,1,公司涉嫌信披违法
https://static.cninfo.com.cn/finalpage/2024-06-13/1220338891.PDF,1,公司涉嫌信披违法
https://static.cninfo.com.cn/finalpage/2024-06-14/1220347480.PDF,0,仅个人或关联方涉案
https://static.cninfo.com.cn/finalpage/2024-06-22/1220428548.PDF,1,公司涉嫌信披违法
https://static.cninfo.com.cn/finalpage/2024-06-25/1220444019.PDF,0,仅个人或关联方涉案
https://static.cninfo.com.cn/finalpage/2024-06-29/1220501252.PDF,0,仅个人或关联方涉案
https://static.cninfo.com.cn/finalpage/2024-06-29/1220501255.PDF,1,公司涉嫌信披违法
https://static.cninfo.com.cn/finalpage/2024-07-08/1220543580.PDF,1,公司涉嫌信披违法
https://static.cninfo.com.cn/finalpage/2024-07-09/1220587095.PDF,0,非目标披露事由
https://static.cninfo.com.cn/finalpage/2024-07-31/1220755113.PDF,1,公司涉嫌信披违法
https://static.cninfo.com.cn/finalpage/2024-08-02/1220789274.PDF,1,公司涉嫌信披违法
https://static.cninfo.com.cn/finalpage/2024-08-03/1220788845.PDF,0,仅个人或关联方涉案
https://static.cninfo.com.cn/finalpage/2024-08-03/1220788887.PDF,1,公司涉嫌信披违法
https://static.cninfo.com.cn/finalpage/2024-08-06/1220795994.PDF,1,公司涉嫌信披违法
https://static.cninfo.com.cn/finalpage/2024-08-06/1220796557.PDF,0,仅个人或关联方涉案
https://static.cninfo.com.cn/finalpage/2024-08-09/1220824401.PDF,0,仅个人或关联方涉案
https://static.cninfo.com.cn/finalpage/2024-08-09/1220835584.PDF,1,公司涉嫌信披违法
https://static.cninfo.com.cn/finalpage/2024-08-09/1220835613.PDF,1,公司涉嫌信披违法
https://static.cninfo.com.cn/finalpage/2024-08-10/1220836179.PDF,1,公司涉嫌信披违法
https://static.cninfo.com.cn/finalpage/2024-08-10/1220832464.PDF,1,公司涉嫌信披违法
https://static.cninfo.com.cn/finalpage/2024-08-15/1220873277.PDF,1,公司涉嫌信披违法
https://static.cninfo.com.cn/finalpage/2024-08-16/1220879215.PDF,1,公司涉嫌信披违法
https://static.cninfo.com.cn/finalpage/2024-08-16/1220883179.PDF,1,公司涉嫌信披违法
https://static.cninfo.com.cn/finalpage/2024-08-16/1220894268.PDF,0,仅个人或关联方涉案
https://static.cninfo.com.cn/finalpage/2024-08-19/1220911796.PDF,0,仅个人或关联方涉案
