date,code,notice_date,pdf_url,provisional_purpose,decision,evidence
2024-01-31,sz.300888,2024-01-30,https://static.cninfo.com.cn/finalpage/2024-01-30/1219044542.PDF,employee,pending,
2024-02-01,sh.603179,2024-01-31,https://static.cninfo.com.cn/finalpage/2024-01-31/1219041971.PDF,employee,pending,
2024-02-01,sh.603185,2024-01-31,https://static.cninfo.com.cn/finalpage/2024-01-31/1219045034.PDF,employee,pending,
2024-02-01,sz.002353,2024-01-31,https://static.cninfo.com.cn/finalpage/2024-01-31/1219040922.PDF,unknown,pending,
2024-02-01,sz.300531,2024-01-31,https://static.cninfo.com.cn/finalpage/2024-01-31/1219055539.PDF,employee,pending,
2024-02-01,sz.301382,2024-01-31,https://static.cninfo.com.cn/finalpage/2024-01-31/1219054894.PDF,employee,pending,
2024-02-02,sh.603596,2024-02-01,https://static.cninfo.com.cn/finalpage/2024-02-01/1219053656.PDF,employee,pending,
2024-02-02,sh.603606,2024-02-01,https://static.cninfo.com.cn/finalpage/2024-02-01/1219055504.PDF,employee,pending,
2024-02-02,sh.688111,2024-02-01,https://static.cninfo.com.cn/finalpage/2024-02-01/1219056297.PDF,employee,pending,
2024-02-02,sz.002821,2024-02-01,https://static.cninfo.com.cn/finalpage/2024-02-01/1219055209.PDF,employee,pending,
2024-02-02,sz.300454,2024-02-01,https://static.cninfo.com.cn/finalpage/2024-02-01/1219064924.PDF,employee,pending,
2024-02-05,sh.603236,2024-02-02,https://static.cninfo.com.cn/finalpage/2024-02-02/1219067461.PDF,maintain,pending,
2024-02-05,sz.002138,2024-02-03,https://static.cninfo.com.cn/finalpage/2024-02-03/1219081674.PDF,employee,pending,
2024-02-05,sz.002812,2024-02-03,https://static.cninfo.com.cn/finalpage/2024-02-03/1219082164.PDF,unknown,pending,
2024-02-05,sz.300567,2024-02-03,https://static.cninfo.com.cn/finalpage/2024-02-03/1219081299.PDF,cancel,pending,
2024-02-05,sz.300925,2024-02-02,https://static.cninfo.com.cn/finalpage/2024-02-02/1219080196.PDF,employee,pending,
2024-02-06,sh.600763,2024-02-05,https://static.cninfo.com.cn/finalpage/2024-02-05/1219090364.PDF,cancel,pending,
2024-02-06,sh.603517,2024-02-05,https://static.cninfo.com.cn/finalpage/2024-02-05/1219089589.PDF,cancel,pending,
2024-02-06,sz.300014,2024-02-05,https://static.cninfo.com.cn/finalpage/2024-02-05/1219094565.PDF,employee,pending,
2024-02-06,sz.300672,2024-02-05,https://static.cninfo.com.cn/finalpage/2024-02-05/1219094447.PDF,employee,pending,
2024-02-06,sz.300884,2024-02-05,https://static.cninfo.com.cn/finalpage/2024-02-05/1219095658.PDF,employee,pending,
2024-02-07,sh.600031,2024-02-06,https://static.cninfo.com.cn/finalpage/2024-02-06/1219097371.PDF,employee,pending,
2024-02-07,sh.605167,2024-02-06,https://static.cninfo.com.cn/finalpage/2024-02-06/1219098322.PDF,employee,pending,
2024-02-07,sz.002008,2024-02-06,https://static.cninfo.com.cn/finalpage/2024-02-06/1219096084.PDF,employee,pending,
2024-02-07,sz.002273,2024-02-06,https://static.cninfo.com.cn/finalpage/2024-02-06/1219096044.PDF,employee,pending,
2024-02-07,sz.002432,2024-02-06,https://static.cninfo.com.cn/finalpage/2024-02-06/1219096658.PDF,unknown,pending,
2024-02-08,sh.600536,2024-02-07,https://static.cninfo.com.cn/finalpage/2024-02-07/1219110035.PDF,maintain,pending,
2024-02-08,sh.600557,2024-02-07,https://static.cninfo.com.cn/finalpage/2024-02-07/1219109694.PDF,maintain,pending,
2024-02-08,sh.600702,2024-02-07,https://static.cninfo.com.cn/finalpage/2024-02-07/1219109389.PDF,employee,pending,
2024-02-08,sz.002351,2024-02-07,https://static.cninfo.com.cn/finalpage/2024-02-07/1219110778.PDF,employee,pending,
2024-02-08,sz.300347,2024-02-07,https://static.cninfo.com.cn/finalpage/2024-02-07/1219108067.PDF,employee,pending,
2024-02-19,sh.603798,2024-02-08,https://static.cninfo.com.cn/finalpage/2024-02-08/1219123289.PDF,unknown,pending,
2024-02-19,sh.688390,2024-02-08,https://static.cninfo.com.cn/finalpage/2024-02-08/1219122643.PDF,employee,pending,
2024-02-19,sh.688498,2024-02-08,https://static.cninfo.com.cn/finalpage/2024-02-08/1219121157.PDF,employee,pending,
2024-02-19,sz.300207,2024-02-09,https://static.cninfo.com.cn/finalpage/2024-02-09/1219132906.PDF,cancel,pending,
